Dis No;Year;Seq;Glide;Disaster Group;Disaster Subgroup;Disaster Type;Disaster Subtype;Disaster Subsubtype;Event Name;Country;ISO;Region;Continent;Location;Origin;Associated Dis;Associated Dis2;OFDA Response;Appeal;Declaration;AID Contribution ('000 US$);Dis Mag Value;Dis Mag Scale;Latitude;Longitude;Local Time;River Basin;Start Year;Start Month;Start Day;End Year;End Month;End Day;Total Deaths;No Injured;No Affected;No Homeless;Total Affected;Reconstruction Costs ('000 US$);Reconstruction Costs, Adjusted ('000 US$);Insured Damages ('000 US$);Insured Damages, Adjusted ('000 US$);Total Damages ('000 US$);Total Damages, Adjusted ('000 US$);CPI
1990-0230-ECU;1990;230;;Natural;Geophysical;Earthquake;Ground movement;;;Ecuador;ECU;South America;Americas;Quito, Pomasqui;;Slide (land, mud, snow, rock);;;No;No;;5;Richter;0.259 S;78.449 W;;;1990;8;11;1990;8;11;4;10;6500;;6510;;;;;;;44.64587744
1990-9059-BOL;1990;9059;;Natural;Climatological;Drought;Drought;;;Bolivia (Plurinational State of);BOL;South America;Americas;La paz, Oruro, Potosi, Cochabamba, Tarija departments;;Water shortage;;Yes;No;Yes;;;Km2;;;;;1990;;;1990;;;;;283160;;283160;;;;;;;44.64587744
1990-0638-ARG;1990;638;;Natural;Hydrological;Flood;;;;Argentina;ARG;South America;Americas;Buenos Aires;;;;;;;;;Km2;;;;;1990;4;;1990;4;;21;;2000;;2000;;;;;;;44.64587744
1990-0052-ATG;1990;52;;Natural;Meteorological;Storm;Tropical cyclone;;Gustav;Antigua and Barbuda;ATG;Caribbean;Americas;;;;;;;;;;Kph;;;;;1990;8;27;1990;8;27;;;;;;;;;;;;44.64587744
1990-0042-BHS;1990;42;;Natural;Meteorological;Storm;Tropical cyclone;;Arthur;Bahamas (the);BHS;Caribbean;Americas;;;;;;;;;113;Kph;;;;;1990;7;27;1990;7;27;;;;;;;;;;;;44.64587744
1990-0641-BLZ;1990;641;;Natural;Meteorological;Extreme temperature;Cold wave;;;Belize;BLZ;Central America;Americas;;;;;;;;;;°C;;;;;1990;;;1990;;;;;;;;;;;;2250;5040;44.64587744
1990-0642-BLZ;1990;642;;Natural;Hydrological;Flood;;;;Belize;BLZ;Central America;Americas;;;;;;;;;;Km2;;;;;1990;5;20;1990;5;20;;;;;;;;;;2200;4928;44.64587744
1990-0411-BRA;1990;411;;Natural;Hydrological;Flood;Flash flood;;;Brazil;BRA;South America;Americas;Santa Caterina, Blumenau;Brief torrential rain;;;;No;No;;;Km2;;;;;1990;10;14;1990;10;15;17;;2000;;2000;;;;;;;44.64587744
1990-0710-BRA;1990;710;;Natural;Hydrological;Flood;Riverine flood;;;Brazil;BRA;South America;Americas;Rio de Janiero;Heavy rains;;;;No;No;;;Km2;;;;;1990;4;18;1990;4;19;7;;800;;800;;;;;;;44.64587744
1990-0644-CAN;1990;644;;Natural;Hydrological;Flood;Riverine flood;;;Canada;CAN;Northern America;Americas;;;;;;;;;;Km2;;;;;1990;6;10;1990;6;10;8;;;;;;;;;8500;19039;44.64587744
1990-0639-CHL;1990;639;;Natural;Hydrological;Flood;;;;Chile;CHL;South America;Americas;Punta Arenas;;;;;;;;;Km2;;;;;1990;3;5;1990;3;5;;;2500;;2500;;;;;;;44.64587744
1990-0676-COL;1990;676;;Natural;Hydrological;Flood;;;;Colombia;COL;South America;Americas;Narino;;;;;;;;;Km2;;;;;1990;4;17;1990;4;17;;;800;;800;;;;;;;44.64587744
1990-0677-COL;1990;677;;Natural;Hydrological;Flood;;;;Colombia;COL;South America;Americas;;;;;;;;;;Km2;;;;;1990;5;30;1990;5;30;;;17179;;17179;;;;;;;44.64587744
1990-0678-COL;1990;678;;Natural;Hydrological;Flood;;;;Colombia;COL;South America;Americas;Vichada;;;;;;;;;Km2;;;;;1990;6;27;1990;6;27;;;1548;;1548;;;;;;;44.64587744
1990-0679-COL;1990;679;;Natural;Hydrological;Flood;;;;Colombia;COL;South America;Americas;Antioquia;;;;;;;;;Km2;;;;;1990;9;21;1990;9;21;10;;1098;;1098;;;;;;;44.64587744
1990-0170-CRI;1990;170;;Natural;Geophysical;Earthquake;Ground movement;;;Costa Rica;CRI;Central America;Americas;Alajuela, Heredia, San Jose provinces;;;;Yes;No;No;;6;Richter;9.869 N;84.302 W;;;1990;12;22;1990;12;22;1;299;;14000;14299;;;;;19500;43677;44.64587744
1990-0191-CRI;1990;191;;Natural;Geophysical;Earthquake;Ground movement;;;Costa Rica;CRI;Central America;Americas;Puntarenas, San Jose areas;;;;;No;No;;7;Richter;9.919 N;84.808 W;;;1990;3;25;1990;3;25;;10;300;;310;;;;;;;44.64587744
1990-0612-CUB;1990;612;;Natural;Hydrological;Flood;Riverine flood;;;Cuba;CUB;Caribbean;Americas;Central Cuba;;;;;;;;;Km2;;;;;1990;5;28;1990;5;28;;;;6000;6000;;;;;;;44.64587744
1990-0640-CUB;1990;640;;Natural;Hydrological;Flood;;;;Cuba;CUB;Caribbean;Americas;East of Cuba;;;;;;;;;Km2;;;;;1990;10;26;1990;10;26;4;;5000;;5000;;;;;;;44.64587744
1991-0209-CRI;1991;209;;Natural;Hydrological;Flood;Riverine flood;;;Costa Rica;CRI;Central America;Americas;Limon province, Atlantic zone;Heavy rain;Slide (land, mud, snow, rock);;;No;No;;;Km2;;;;;1991;8;13;1991;8;22;1;21;165000;20000;185021;;;;;;;46.53662061
1991-0114-CRI;1991;114;;Natural;Geophysical;Earthquake;Ground movement;;;Costa Rica;CRI;Central America;Americas;Bribri, Matina, Bataan, Sixaola, 28 Millas, Estrella Valley (Limon province);;Tsunami/Tidal wave;;Yes;No;No;;6;Richter;9.685 N;83.073 W;;;1991;4;22;1991;4;22;47;199;6320;3900;10419;;;;;100000;214885;46.53662061
1991-0535-CAN;1991;535;;Natural;Meteorological;Storm;Convective storm;Hail;;Canada;CAN;Northern America;Americas;Calgary (Alberta);;Hail;;;No;No;;;Kph;;;;;1991;9;7;1991;9;7;;;;;;;;347000;745649;500000;1074423;46.53662061
1991-0765-ARG;1991;765;;Natural;Geophysical;Volcanic activity;Ash fall;;Mt Hudson;Argentina;ARG;South America;Americas;Santa Cruz;;;;Yes;Yes;No;;;;45.54 S;72.58 W;;;1991;8;13;1991;8;13;;;62000;1200;63200;;;;;;;46.53662061
1991-0694-BOL;1991;694;;Natural;Biological;Epidemic;Bacterial disease;;Cholera;Bolivia (Plurinational State of);BOL;South America;Americas;;;;;;;;;;Vaccinated;;;;;1991;1;;1991;1;;329;;17665;;17665;;;;;;;46.53662061
1991-0109-BRA;1991;109;;Natural;Hydrological;Flood;Riverine flood;;;Brazil;BRA;South America;Americas;Sao Paulo, Rio de Janeiro;Heavy rain;;;;No;No;;89510;Km2;;;;Tiente and Pinheiros;1991;3;19;1991;3;31;20;;17000;;17000;;;;;2000;4298;46.53662061
1991-0478-BRA;1991;478;;Natural;Hydrological;Landslide;Landslide;;;Brazil;BRA;South America;Americas;Minas Gerais, Rio de Janeiro;;;;;No;No;;;;;;;;1991;1;10;1991;1;18;24;;;600;600;;;;;;;46.53662061
